                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0156,                 5.0967,                 2.3074,                0.00173,                    0.5,                0.03012,                0.01109,                 2.0556,                 5.5171,                 2.9451,              1.875e-05,              1.875e-05,              1.875e-05
                      2,                  1.946,                 4.7838,                 2.2867,                0.00181,                    0.5,                0.02253,                0.00955,                 2.0458,                 5.3211,                 2.6499,             4.2884e-05,             4.2884e-05,             4.2884e-05
                      3,                 1.8173,                 4.8599,                  2.131,                0.00369,                   0.75,                0.04394,                0.01932,                 1.8126,                 5.2375,                 2.2148,             6.6027e-05,             6.6027e-05,             6.6027e-05
                      4,                 1.6571,                 4.6988,                  1.942,                0.00358,                   0.75,                0.05563,                0.03168,                 1.4646,                 5.0389,                 1.9043,             8.8181e-05,             8.8181e-05,             8.8181e-05
                      5,                 1.5528,                 4.3938,                 1.7545,                0.00308,                   0.75,                 0.0603,                0.03462,                 1.3074,                 5.0136,                 1.7135,             0.00010935,             0.00010935,             0.00010935
                      6,                 1.4526,                 4.2876,                 1.6195,                0.00314,                   0.75,                0.12281,                0.06535,                 1.2049,                 4.9595,                 1.6044,             0.00012952,             0.00012952,             0.00012952
                      7,                 1.4367,                 4.4665,                 1.6995,                0.00345,                0.83333,                0.32197,                0.20602,                 1.1057,                 4.9165,                 1.4984,              0.0001487,              0.0001487,              0.0001487
                      8,                 1.3759,                 4.1427,                 1.6068,                0.00332,                0.83333,                0.27937,                0.18847,                 1.0296,                 4.7533,                 1.4274,              0.0001669,              0.0001669,              0.0001669
                      9,                 1.3177,                 3.9781,                 1.5492,                0.00348,                0.91667,                0.29993,                0.24149,                0.96218,                 4.5686,                 1.3616,              0.0001841,              0.0001841,              0.0001841
                     10,                  1.382,                 3.7459,                 1.5367,                0.00375,                      1,                 0.3548,                0.29378,                0.96422,                 4.4045,                 1.3123,             0.00020031,             0.00020031,             0.00020031
                     11,                 1.3377,                 3.6995,                  1.555,                 0.0041,                      1,                0.43328,                0.32168,                0.99066,                 4.2872,                 1.3492,             0.00021554,             0.00021554,             0.00021554
                     12,                 1.2794,                 3.2877,                  1.552,                0.00502,                      1,                0.53883,                0.43235,                 0.9302,                 4.2754,                 1.2967,             0.00022977,             0.00022977,             0.00022977
                     13,                 1.2897,                 3.3176,                 1.5388,                0.00667,                      1,                0.58403,                0.43453,                0.89944,                 4.1459,                 1.2781,             0.00024302,             0.00024302,             0.00024302
                     14,                   1.19,                 2.9757,                  1.422,                0.00744,                      1,                0.60549,                0.45203,                0.94087,                 4.0542,                 1.2999,             0.00025527,             0.00025527,             0.00025527
                     15,                 1.1571,                 3.0322,                 1.4296,                0.96306,                0.08333,                0.56206,                 0.4314,                 0.9519,                 4.0311,                 1.2677,             0.00026653,             0.00026653,             0.00026653
                     16,                 1.2505,                 2.9651,                 1.4629,                0.97468,                0.08333,                0.56474,                0.45461,                0.89281,                 3.9835,                  1.253,             0.00027681,             0.00027681,             0.00027681
                     17,                 1.2122,                 2.8154,                 1.4392,                0.97275,                0.08333,                0.58778,                0.47557,                0.86369,                 4.0361,                 1.2283,             0.00028609,             0.00028609,             0.00028609
                     18,                 1.1536,                 2.8287,                 1.4262,                0.91035,                0.12827,                 0.7269,                0.60557,                0.83262,                 3.8563,                 1.2066,             0.00029438,             0.00029438,             0.00029438
                     19,                 1.1012,                 2.9835,                 1.4167,                 0.9031,                0.33333,                0.72615,                 0.5725,                0.84638,                 3.7251,                 1.2152,             0.00030169,             0.00030169,             0.00030169
                     20,                 1.2538,                 2.7699,                 1.4207,                0.84077,                0.41667,                0.77942,                0.59396,                0.93658,                 3.5856,                 1.2819,               0.000308,               0.000308,               0.000308
                     21,                 1.2955,                 2.8373,                 1.5157,                0.69933,                0.66667,                0.81811,                0.62934,                0.85781,                 3.3032,                 1.2539,             0.00031333,             0.00031333,             0.00031333
                     22,                 1.1048,                 2.4739,                 1.4289,                0.69784,                0.66667,                0.93972,                0.75731,                0.79237,                 3.1313,                 1.1983,             0.00031766,             0.00031766,             0.00031766
                     23,                 1.0849,                 2.5919,                  1.391,                 0.7351,                0.58333,                  0.995,                0.81258,                0.79557,                 3.1251,                 1.2143,               0.000321,               0.000321,               0.000321
                     24,                 1.1068,                 2.4078,                 1.4062,                0.74169,                   0.75,                  0.995,                0.82087,                0.81967,                 3.1518,                 1.2363,             0.00032336,             0.00032336,             0.00032336
                     25,                  1.041,                 2.3688,                 1.3753,                0.72504,                   0.75,                  0.995,                0.77569,                0.85519,                 3.1808,                 1.2717,             0.00032472,             0.00032472,             0.00032472
                     26,                 1.1129,                 2.3659,                 1.3485,                0.75057,                   0.75,                  0.995,                0.77161,                0.86404,                 2.9962,                 1.2741,             0.00031562,             0.00031562,             0.00031562
                     27,                 1.0546,                 2.2271,                 1.3046,                0.65058,                0.83333,                  0.995,                0.79611,                0.87068,                 2.7001,                 1.2893,             0.00030325,             0.00030325,             0.00030325
                     28,                 1.0712,                 2.1377,                 1.2768,                0.66643,                0.91667,                  0.995,                  0.796,                 0.8911,                 2.4752,                 1.3068,             0.00029088,             0.00029088,             0.00029088
                     29,                 1.0382,                 2.2531,                 1.3196,                0.67181,                      1,                  0.995,                0.82087,                0.88603,                 2.3629,                 1.3324,              0.0002785,              0.0002785,              0.0002785
                     30,                 1.0346,                 2.1472,                 1.3112,                0.64175,                      1,                  0.995,                0.80429,                0.89063,                 2.3122,                 1.3734,             0.00026613,             0.00026613,             0.00026613
                     31,                 1.0049,                 1.9484,                 1.2553,                0.66425,                0.91667,                  0.995,                0.77942,                0.94313,                 2.3562,                 1.4078,             0.00025375,             0.00025375,             0.00025375
                     32,                0.99537,                 2.1468,                 1.3163,                0.63987,                      1,                  0.995,                0.74309,                0.99864,                  2.403,                  1.418,             0.00024137,             0.00024137,             0.00024137
                     33,                 1.0104,                 1.8637,                 1.3186,                0.70614,                0.91667,                  0.995,                0.80844,                0.91213,                 2.2993,                 1.3024,               0.000229,               0.000229,               0.000229
                     34,                 0.8731,                  1.735,                 1.1943,                0.81144,                0.83333,                  0.995,                0.84022,                0.75508,                 2.1959,                 1.1615,             0.00021662,             0.00021662,             0.00021662
                     35,                 0.9191,                 1.8532,                 1.2259,                0.73233,                0.91667,                  0.995,                0.87062,                0.67615,                 2.1077,                 1.1079,             0.00020425,             0.00020425,             0.00020425
                     36,                0.88583,                  1.688,                 1.1592,                0.79648,                0.91667,                  0.995,                 0.8955,                0.66049,                 2.0366,                 1.0953,             0.00019188,             0.00019188,             0.00019188
                     37,                0.87453,                 1.8326,                 1.1783,                0.83607,                0.91667,                  0.995,                0.90379,                0.67235,                 2.0389,                 1.1003,              0.0001795,              0.0001795,              0.0001795
                     38,                0.87782,                 1.6924,                 1.1461,                0.79254,                      1,                  0.995,                0.88721,                0.66718,                 2.0727,                 1.0942,             0.00016713,             0.00016713,             0.00016713
